 temprature, rainfall, humidity, yeild_apples
49.49 77.41 67.25 63.95
14.87 47.78 22.09 25.06
48.55 71.22 72.65 65.13
49.65 3.10 36.37 33.70
24.99 69.70 38.82 40.85
51.68 0.82 67.44 49.39
73.41 78.36 95.58 85.48
81.37 59.44 27.70 50.15
8.50 67.33 48.49 40.26
22.80 60.23 72.49 55.13
48.75 89.21 97.77 81.35
76.67 2.82 42.17 44.65
94.22 96.58 43.15 69.16
22.08 68.98 60.85 50.84
35.30 70.63 58.72 54.08
66.65 80.56 51.48 61.85
2.30 22.13 50.43 30.33
10.48 77.69 70.74 54.05
5.25 90.97 63.14 51.34
90.95 60.68 85.96 82.40
6.94 25.43 13.27 13.80
50.18 87.63 93.85 79.50
13.25 79.25 23.99 31.82
69.34 49.39 25.89 43.62
98.30 68.75 39.68 63.08
28.21 71.13 76.35 60.86
50.07 92.77 16.44 41.79
96.74 81.72 6.23 48.48
62.73 48.48 69.76 63.40
87.34 41.58 14.31 41.67
93.30 23.32 52.84 59.07
30.36 61.86 62.30 52.63
30.81 76.31 41.74 45.38
65.24 8.02 34.03 38.19
88.34 78.32 72.82 78.58
43.07 36.71 25.75 33.14
13.05 10.55 5.56 8.80
60.12 75.47 56.48 61.37
77.57 89.74 91.36 86.90
59.22 29.54 71.91 59.63
91.08 13.01 41.63 50.74
14.45 30.25 98.35 59.56
98.43 72.75 68.97 78.56
97.58 84.10 14.83 53.51
40.98 33.21 69.68 53.78
98.99 85.13 40.74 67.09
31.01 35.13 82.83 57.74
25.43 90.67 37.17 44.35
40.28 64.20 1.47 25.66
21.59 66.28 13.41 26.44
43.89 70.66 50.78 52.69
89.09 89.60 75.68 82.49
9.60 61.53 21.53 25.95
60.47 78.65 40.69 54.22
53.26 12.77 70.29 53.68
17.89 14.77 49.69 33.17
24.59 81.39 17.92 32.62
5.89 61.24 61.65 44.84
33.71 9.85 49.12 36.64
87.74 19.25 69.20 64.77
12.51 79.04 36.21 37.67
85.95 67.53 75.80 77.19
52.29 83.99 63.47 64.22
13.94 6.63 67.61 39.31
14.17 69.53 73.18 54.75
29.33 7.33 25.22 22.88
60.45 10.59 62.98 51.74
90.60 9.39 26.42 42.27
39.52 39.89 75.30 57.48
32.45 3.75 41.83 31.40
81.44 42.39 52.73 59.27
85.66 77.42 26.18 54.27
83.28 76.31 7.44 43.97
93.02 45.48 65.00 69.50
18.75 36.70 43.85 34.89
43.27 25.14 64.29 50.15
61.22 56.79 42.16 50.80
66.85 35.59 5.10 29.72
13.81 72.39 4.17 20.71
87.59 69.64 20.40 50.41
46.26 46.51 63.83 55.09
57.06 86.02 38.16 53.40
73.97 86.56 7.07 43.04
4.12 89.60 73.37 55.84
49.66 29.03 75.75 58.58
36.02 0.76 17.24 19.58
39.91 73.25 27.99 40.62
30.30 39.61 93.91 63.97
82.47 97.00 46.04 67.16
74.46 85.66 0.14 39.54
79.99 89.99 39.57 61.78
74.75 76.78 26.64 51.10
62.24 43.01 41.66 48.10
85.68 53.78 95.90 84.41
81.36 93.14 21.74 53.91
98.43 92.97 72.37 84.31
75.13 34.61 69.31 64.12
1.46 98.17 24.73 32.44
39.16 28.42 93.65 64.26
91.85 21.87 72.25 68.05
38.55 4.45 59.10 42.01
76.38 10.27 66.29 58.11
55.72 70.54 92.72 77.18
43.44 89.74 75.64 68.80
63.20 80.39 61.41 65.74
95.11 12.39 60.35 61.19
10.55 91.80 32.03 37.54
58.81 2.66 64.72 50.53
32.11 50.25 53.77 46.57
59.68 41.96 44.56 48.58
5.76 9.11 53.44 30.27
66.75 17.76 7.96 27.56
62.93 25.82 56.03 52.06
9.28 69.13 41.38 37.30
36.69 7.94 73.46 49.32
33.78 0.36 84.53 52.47
95.87 58.20 61.41 71.11
58.10 97.50 59.60 66.73
3.43 2.64 71.65 37.38
58.34 74.54 65.18 65.00
10.93 25.55 22.74 19.76
24.78 87.49 11.71 30.79
58.97 68.11 81.54 72.08
59.75 57.79 3.70 31.33
83.74 88.36 96.76 91.17
3.05 42.50 64.79 41.81
74.17 47.05 85.07 74.20
95.48 51.26 32.47 55.13
34.52 52.63 5.88 23.82
69.31 47.33 80.72 70.62
25.24 71.69 94.45 69.14
26.73 67.62 23.73 33.41
24.35 40.62 20.60 25.73
24.57 22.09 46.64 35.11
81.74 97.68 18.50 53.31
72.78 20.63 54.51 53.22
50.81 31.71 31.12 37.15
40.34 19.04 87.18 59.50
34.05 16.78 61.75 44.45
13.16 50.45 73.53 50.80
30.19 23.69 58.32 42.95
32.45 18.02 97.56 62.12
47.57 94.29 67.73 66.99
96.47 98.54 8.37 52.83
57.45 62.44 34.65 47.05
75.23 41.15 20.65 41.12
46.97 77.29 56.68 57.89
11.04 98.81 9.60 27.87
95.38 96.13 3.57 49.62
65.20 64.82 65.13 65.09
26.31 96.48 22.01 38.19
86.76 65.71 83.41 80.88
91.09 56.42 4.75 40.99
53.59 48.28 22.94 37.20
33.73 14.10 18.98 22.43
11.04 54.12 37.53 32.90
64.30 81.33 19.90 45.51
66.40 32.87 68.72 60.85
56.79 69.11 20.08 40.90
53.45 98.94 63.86 67.75
42.82 54.84 31.96 39.79
6.36 53.94 23.58 24.49
88.22 32.50 50.31 58.12
71.25 87.24 60.23 68.94
8.81 96.03 53.41 48.55
26.18 67.45 91.35 67.02
34.01 47.09 66.28 52.76
52.64 75.79 64.32 63.11
46.43 81.43 36.64 48.54
28.26 13.58 90.96 56.67
11.13 70.53 59.80 47.34
86.07 43.96 57.60 63.41
69.74 31.56 49.90 52.18
34.90 62.38 43.12 44.51
44.50 35.30 37.57 39.20
14.28 3.80 49.00 29.54
10.15 7.07 76.65 42.78
92.66 62.03 21.85 51.13
89.53 65.92 39.28 59.68
12.46 83.84 40.42 40.72
27.02 85.35 14.76 32.56
67.11 44.94 16.80 37.52
52.61 49.45 7.71 29.53
1.73 50.60 0.93 11.10
35.01 15.89 23.65 25.51
8.89 85.45 2.65 21.08
27.04 59.77 90.24 65.19
62.33 27.55 86.48 67.45
35.61 42.80 83.11 60.80
59.03 34.94 29.97 39.68
84.37 27.87 53.45 57.61
64.32 27.69 55.77 52.72
4.26 57.88 67.28 46.49
93.26 88.59 55.01 73.20
60.18 50.07 20.19 38.16
86.49 47.47 26.38 48.63
32.36 19.23 68.15 47.63
65.20 0.30 18.34 28.79
74.26 55.41 83.91 75.31
88.91 20.06 70.26 65.81
36.44 47.07 52.26 46.48
93.47 97.24 39.31 67.14
54.01 31.65 88.71 66.89
9.63 11.46 11.95 11.16
48.29 33.90 37.02 39.78
82.59 17.69 0.48 28.55
74.88 41.01 21.76 41.55
48.82 92.80 29.44 47.93
42.93 91.86 85.16 73.83
44.31 4.31 45.80 37.05
33.62 72.13 78.15 63.59
72.04 25.01 11.39 32.31
30.53 33.80 79.39 55.61
9.07 77.35 41.37 38.88
24.46 68.42 83.15 62.60
21.63 87.88 27.93 38.03
15.56 77.45 22.20 31.26
10.15 36.53 22.71 21.71
92.79 54.91 87.16 82.40
29.14 76.84 13.76 30.99
81.56 86.50 60.68 72.11
11.44 12.77 76.04 44.01
64.20 23.10 38.58 43.17
41.25 8.22 35.23 31.63
59.91 98.21 91.77 83.50
21.77 33.47 3.71 15.08
49.03 88.96 5.55 35.28
24.27 35.49 33.83 31.29
51.16 0.75 28.55 29.77
1.97 6.05 42.25 22.93
73.16 69.68 94.22 82.99
25.91 40.59 61.74 46.76
90.22 17.63 84.24 72.71
37.48 84.61 77.44 66.89
4.79 38.96 0.04 9.25
53.31 50.10 50.02 51.02
24.20 49.92 42.15 38.32
88.10 25.95 50.45 56.84
61.12 8.74 76.06 58.11
13.33 31.04 10.27 15.34
45.84 15.77 3.19 18.50
1.54 84.82 35.86 35.36
75.87 46.28 74.16 69.10
96.84 5.24 2.64 31.42
90.93 95.69 9.20 51.02
47.92 7.93 98.71 65.32
66.68 39.41 49.08 52.43
56.56 43.55 87.55 69.45
98.01 44.95 45.90 61.34
32.92 25.57 25.75 27.87
63.96 33.11 72.27 61.94
51.39 39.09 66.83 56.65
71.38 41.12 20.34 39.81
95.63 40.72 75.76 74.71
32.11 93.53 82.81 69.74
76.28 8.47 81.24 65.20
19.99 93.17 52.78 51.02
79.17 55.62 79.59 74.67
2.75 58.74 26.99 26.07
81.51 14.17 32.42 43.50
91.29 63.67 34.96 57.60
81.85 43.80 4.25 35.44
63.45 70.60 17.56 41.94
30.40 77.69 63.21 56.26
61.80 71.17 90.45 78.00
47.95 37.90 63.17 53.55
58.82 25.52 72.54 59.02
4.67 24.80 16.08 14.40
23.96 53.07 85.78 60.69
29.33 25.60 6.03 16.93
15.03 9.71 51.10 32.00
28.20 25.06 65.56 46.25
38.93 5.79 90.96 58.32
37.06 65.28 72.11 60.23
32.39 50.98 79.43 59.63
89.14 7.42 65.81 61.13
11.99 10.78 67.54 39.52
50.18 38.95 39.20 42.44
13.60 52.86 0.41 14.86
92.69 75.87 37.63 61.80
52.69 42.14 94.56 71.52
35.69 96.52 93.38 76.70
75.06 51.19 78.58 72.05
86.04 44.58 81.39 75.42
61.10 3.44 93.30 65.67
55.06 11.26 89.34 63.44
43.81 40.34 31.25 36.84
31.65 20.59 31.84 29.53
51.08 81.99 37.31 50.38
38.90 96.25 0.25 31.05
0.60 42.04 80.67 48.92
91.39 65.37 69.80 75.39
65.79 19.08 96.33 71.72
98.16 92.48 63.16 79.52
91.52 45.79 62.99 68.11
42.38 41.85 9.31 25.74
50.82 69.04 90.15 74.13
80.50 9.80 26.41 39.31
0.36 5.03 60.52 31.37
88.61 90.03 69.67 79.42
98.93 17.94 64.85 65.69
89.85 91.72 18.83 54.71
45.33 2.26 40.98 34.54
22.12 32.88 52.12 39.27
59.68 3.35 90.17 63.66
47.95 29.41 51.44 45.99
24.44 29.26 91.94 59.15
85.96 27.62 88.29 75.46
31.58 52.50 15.66 27.80
6.14 71.28 63.83 48.01
1.41 39.60 40.33 28.51
1.69 62.73 78.04 52.07
82.83 8.48 81.52 67.31
55.76 10.74 35.30 36.53
70.29 59.75 37.60 51.84
3.01 1.30 68.09 35.21
26.15 42.23 16.15 24.37
26.97 18.47 47.10 35.34
24.15 57.71 6.82 22.20
92.12 44.18 77.47 75.21
0.37 22.56 82.71 45.98
7.20 14.28 14.58 12.31
37.23 97.40 19.07 40.18
24.24 27.23 59.71 42.57
62.40 55.53 40.59 50.12
96.05 13.43 52.52 57.76
30.46 57.10 10.67 25.89
5.72 75.67 67.94 50.82
62.71 72.41 36.25 51.42
86.22 61.92 20.95 48.73
72.49 73.82 66.84 69.93
39.01 58.73 47.30 47.10
50.21 43.17 63.81 55.60
32.04 75.26 18.50 33.91
33.82 26.25 16.54 23.67
61.33 91.00 81.90 77.55
89.19 33.26 54.69 60.75
75.24 96.09 39.00 61.29
89.89 89.07 40.83 65.20
32.83 70.15 37.12 42.44
76.78 50.83 92.99 79.69
58.47 6.67 15.05 26.40
89.86 31.65 74.06 70.32
9.12 25.34 55.11 35.36
61.38 85.51 11.37 41.20
13.02 67.54 57.26 46.04
68.83 51.02 54.84 58.27
90.49 98.16 2.18 47.87
18.74 74.40 89.05 65.03
68.57 90.17 14.65 45.93
28.84 13.89 85.44 54.15
80.81 81.15 9.74 45.34
50.02 34.62 13.78 28.82
80.74 19.25 47.30 51.72
91.75 73.54 93.92 89.19
61.57 75.05 12.40 39.68
59.34 75.75 47.46 56.68
12.04 15.51 11.31 12.37
86.95 27.91 74.86 69.10
45.48 60.88 2.43 27.04
93.23 11.35 89.22 74.85
57.66 9.35 30.69 34.51
56.26 18.29 13.38 27.23
66.53 7.41 34.36 38.62
1.81 20.95 97.67 53.57
23.94 82.76 3.62 25.54
87.54 90.87 64.58 76.73
94.33 51.32 74.10 75.61
17.67 6.20 57.06 35.07
45.57 0.64 32.41 30.00
98.36 74.99 18.59 53.80
3.21 6.89 60.61 32.65
39.53 22.03 64.75 48.64
82.30 92.85 77.34 81.93
10.10 69.47 93.17 63.51
44.54 44.46 33.89 39.20
23.02 38.85 66.02 47.69
46.72 60.86 64.81 58.59
41.89 62.41 97.24 73.67
14.29 76.54 39.77 39.48
1.98 89.37 59.58 48.26
48.23 70.26 82.66 69.85
65.57 48.06 74.90 66.73
58.51 73.20 65.84 65.11
54.66 38.45 69.58 58.88
63.76 4.02 45.77 42.82
22.24 73.62 15.43 29.11
26.77 34.27 3.08 16.43
63.15 43.19 32.22 43.69
35.66 55.79 90.87 67.29
31.94 64.28 29.42 37.15
64.87 77.82 31.37 50.71
64.03 94.77 29.36 52.84
45.67 19.76 82.09 58.70
86.11 22.74 40.44 50.60
95.71 52.37 86.65 82.51
10.12 60.63 53.39 41.86
78.10 35.35 58.50 59.75
55.80 59.93 20.03 38.74
60.45 32.91 10.84 30.14
36.58 75.64 57.23 54.72
81.27 76.24 65.28 72.27
81.67 91.29 65.52 75.52
21.21 78.00 73.08 58.50
93.63 16.21 89.91 76.29
11.24 29.69 89.64 54.13
66.03 12.38 61.21 52.89
84.62 68.57 90.74 84.47
57.11 41.33 35.13 42.96
49.05 32.12 62.40 52.34
85.22 71.57 22.12 50.94
56.54 71.59 33.45 48.01
4.03 22.10 69.59 40.42
72.13 14.93 94.96 72.10
69.85 49.31 67.73 64.68
32.19 77.52 87.96 69.14
12.74 73.98 73.60 55.42
55.53 39.04 59.35 54.14
2.71 11.61 33.61 19.94
61.53 27.98 82.23 65.17
66.84 18.70 44.83 46.21
78.29 16.32 38.78 46.14
79.15 10.81 98.05 74.93
52.48 25.67 10.68 26.22
81.70 32.81 59.70 60.92
39.88 82.02 93.14 74.94
38.99 73.82 41.67 47.30
13.24 22.62 38.94 27.97
19.99 19.06 73.23 46.42
14.19 28.63 33.24 26.60
60.60 69.82 29.44 46.86
17.47 24.97 27.65 24.06
21.67 76.71 86.08 64.88
20.80 70.38 36.77 38.70
91.36 8.17 4.73 31.41
16.84 92.26 41.96 44.48
3.14 73.68 97.95 64.65
73.06 64.08 90.82 80.14
6.43 20.99 44.13 28.19
97.76 30.06 49.78 60.23
89.04 67.46 24.69 52.55
25.50 35.86 66.91 48.28
57.02 12.92 56.57 47.98
86.20 22.26 1.56 31.09
23.97 49.59 61.34 47.78
15.83 18.07 77.25 46.99
28.13 40.61 19.44 26.28
12.27 51.82 11.15 19.62
17.55 98.61 13.97 31.97
63.98 21.91 75.18 61.17
6.11 73.11 26.49 29.70
8.26 9.65 48.38 28.60
98.55 11.99 35.10 49.51
4.24 56.85 27.79 26.54
47.96 10.85 64.47 48.79
13.09 41.02 24.59 24.43
14.46 27.40 83.60 51.62
17.27 19.37 52.45 35.28
4.21 32.32 37.33 26.39
45.16 56.16 8.56 29.06
85.29 0.38 71.68 61.50
35.14 53.90 55.73 49.19
76.74 87.74 81.48 81.31
21.54 88.64 83.60 65.99
69.29 83.42 30.10 52.52
34.36 60.02 24.47 34.55
14.20 46.08 73.74 50.35
49.21 58.10 71.77 62.27
24.52 60.44 93.71 66.30
53.22 50.18 77.44 64.72
1.03 8.00 16.26 10.04
46.68 50.05 40.16 44.09
68.05 92.92 0.82 39.41
55.34 43.99 41.02 45.91
55.74 7.88 63.24 49.92
45.14 23.29 50.08 43.24
52.39 70.08 80.42 69.94
93.15 75.45 77.94 82.00
13.18 5.53 91.91 51.02
8.38 0.38 66.90 36.04
51.85 22.17 43.02 41.50
54.17 44.56 11.90 31.11
28.65 52.29 35.34 36.72
3.18 93.26 20.51 29.86
9.95 45.49 95.04 59.60
75.18 96.33 73.83 78.74
27.53 11.05 13.80 17.37
86.87 7.93 68.47 61.88
15.32 93.59 48.64 47.63
30.11 1.91 24.93 21.88
46.30 83.89 97.53 79.43
37.26 75.20 40.70 46.57
35.30 85.09 34.35 44.78
27.74 65.56 92.94 67.90
62.81 60.07 9.20 35.46
13.32 48.65 47.35 37.40
9.53 64.75 42.91 37.26
19.48 3.53 26.23 19.66
83.12 74.02 60.70 70.09
37.09 93.77 86.82 73.29
62.94 82.74 49.50 60.18
25.11 75.02 88.06 66.57
88.92 66.89 7.51 43.81
51.32 40.20 76.85 61.86
14.88 39.48 18.99 21.85
4.36 8.74 14.85 10.48
75.43 62.01 12.02 41.04
20.52 23.44 92.98 57.33
97.15 21.40 47.63 57.24
67.95 42.98 36.22 47.09
70.36 61.01 50.87 58.75
51.53 48.51 79.41 64.87
20.78 32.93 22.43 24.04
44.57 72.60 72.61 64.20
71.28 50.82 34.76 48.93
39.61 25.25 39.81 36.84
8.22 19.28 44.17 28.41
48.69 68.12 61.51 58.99
51.85 42.50 42.41 45.26
24.84 32.88 78.06 53.06
37.00 85.64 51.84 54.15
87.85 62.09 25.28 51.41
81.87 71.50 64.39 71.06
90.81 92.45 17.69 54.58
96.20 87.50 29.36 61.04
12.59 69.20 82.14 58.69
49.36 84.70 85.80 74.65
13.72 73.79 92.98 65.36
63.31 14.62 3.14 23.49
45.18 92.46 37.06 50.58
64.65 12.22 46.89 45.28
65.01 87.21 30.08 51.98
15.03 36.60 97.98 60.82
70.02 65.58 67.54 67.89
63.80 80.74 92.21 81.39
32.23 41.18 72.07 53.94
89.58 24.86 71.52 67.61
18.91 98.64 54.62 52.71
21.76 24.26 20.05 21.41
33.35 86.03 37.77 46.10
34.61 3.19 85.27 53.66
84.57 7.12 20.76 37.17
46.50 73.41 14.35 35.81
96.81 60.16 70.64 76.40
6.28 47.49 1.50 12.13
42.17 48.12 33.44 38.99
42.84 39.74 96.91 69.25
29.60 88.45 60.16 56.65
59.94 81.46 67.14 67.84
48.26 77.13 60.58 60.19
97.03 80.51 86.90 88.66
96.76 67.19 49.96 67.45
26.43 64.26 22.35 31.96
69.76 35.97 37.07 46.66
39.57 97.85 43.19 53.04
69.68 69.33 82.43 75.98
34.40 95.81 33.25 46.11
25.44 93.31 74.36 63.47
83.10 22.64 14.76 36.84
48.66 51.19 22.02 35.85
5.48 35.98 6.04 11.86
67.24 87.08 74.67 74.92
71.01 38.07 23.96 40.90
15.05 55.00 34.20 32.62
85.40 86.74 79.07 82.50
27.33 64.04 13.93 27.97
60.93 68.39 92.08 78.00
26.92 21.11 55.58 40.09
4.27 25.26 33.25 22.96
39.38 33.44 7.22 22.11
14.74 71.93 47.50 42.56
49.70 67.95 64.66 60.83
28.56 94.50 28.46 41.70
85.88 59.28 41.56 58.40
42.62 63.02 75.05 62.91
54.10 91.58 21.54 45.32
25.42 17.39 7.15 14.68
34.00 37.98 74.72 55.16
37.57 69.64 86.39 68.39
49.69 90.55 85.65 75.84
81.76 39.02 25.28 44.97
59.07 4.29 98.65 67.90
61.99 32.13 66.18 58.11
66.86 40.05 12.05 34.09
2.08 61.39 41.29 33.55
96.41 67.43 84.81 84.81
90.33 39.23 95.08 82.48
0.13 39.52 62.30 39.09
17.52 56.19 33.80 33.39
92.73 83.43 51.53 70.27
93.77 45.77 50.78 62.67
19.18 65.98 43.20 40.55
39.81 19.72 76.97 54.37
29.29 25.34 6.87 17.29
48.43 71.77 41.81 49.79
41.90 58.40 22.31 35.41
68.87 93.70 78.40 78.60
30.29 66.90 29.50 37.22
88.00 57.33 84.47 80.10
22.82 58.24 53.55 45.27
6.01 60.14 58.00 42.83
78.34 72.68 74.12 75.10
5.51 1.74 15.15 9.58
83.15 42.26 74.11 70.45
67.89 2.78 32.43 37.14
79.26 67.17 22.61 48.52
80.68 22.25 32.20 44.75
93.56 26.58 92.06 79.41
60.33 86.04 22.22 46.42
40.08 70.92 31.11 41.76
85.38 25.99 29.87 45.75
4.86 37.97 77.14 47.62
55.17 43.40 66.66 58.56
40.25 28.92 14.04 24.88
25.98 33.83 31.88 30.50
98.23 70.33 57.72 72.40
28.91 31.97 45.14 37.64
33.12 34.88 15.66 24.74
16.58 96.52 16.73 32.64
80.53 93.84 40.96 63.41
42.83 54.21 91.53 69.46
39.89 33.89 73.91 55.70
3.64 58.73 87.04 56.36
63.93 2.83 21.76 30.62
47.00 98.57 80.22 73.92
27.28 60.01 59.80 50.09
41.87 27.54 53.84 44.99
13.75 40.81 30.04 27.31
5.72 37.47 26.65 22.53
47.46 16.02 75.12 55.00
33.14 71.02 62.99 55.64
50.97 93.41 18.58 43.26
66.57 43.07 11.89 34.53
92.50 54.68 90.79 84.08
9.11 2.07 40.95 23.62
23.75 29.26 20.75 23.35
33.90 87.91 54.19 54.85
22.89 40.56 8.44 19.20
71.25 50.14 18.95 40.88
3.56 77.81 70.52 51.89
6.39 1.46 88.40 46.41
54.14 73.89 54.52 58.28
85.33 60.71 5.97 40.73
37.42 41.54 23.40 31.23
49.90 76.83 83.06 71.87
76.62 43.88 85.03 74.28
8.22 67.35 37.40 34.64
58.76 69.61 14.59 38.84
62.31 70.36 17.86 41.70
93.53 80.67 21.89 55.14
79.85 32.60 25.86 43.41
89.42 85.13 63.59 75.65
57.45 95.83 24.67 48.74
93.65 36.99 90.87 80.93
57.74 88.72 86.44 78.29
16.02 40.05 86.53 56.08
80.21 65.30 75.44 74.84
94.02 81.60 6.39 47.72
37.42 58.47 94.58 70.21
62.32 36.86 75.01 63.57
24.12 3.64 0.08 8.00
84.77 9.96 45.23 50.04
19.08 77.49 39.36 40.90
98.16 77.48 85.99 87.94
95.62 62.95 53.79 68.17
13.63 80.66 46.70 43.57
57.80 79.69 56.58 61.57
11.53 82.62 36.00 37.98
69.77 90.65 94.48 86.30
34.16 82.33 25.05 39.24
40.15 64.13 75.78 62.76
18.52 98.07 92.71 71.53
81.74 20.80 36.11 46.74
48.95 43.66 72.09 59.46
76.62 28.27 55.38 56.33
61.01 5.57 82.78 60.81
64.98 98.70 61.52 69.99
91.01 77.51 74.24 79.93
38.75 45.81 58.77 50.17
44.61 69.53 26.95 40.76
50.90 98.33 69.47 69.67
87.71 10.32 96.09 76.42
13.47 62.89 65.62 49.43
95.24 81.68 71.15 80.48
93.00 30.88 55.61 61.88
40.50 53.18 93.73 69.65
42.40 30.62 76.05 56.87
94.54 45.16 98.90 86.84
16.03 10.78 33.18 23.55
61.13 92.40 75.49 74.56
56.05 4.84 24.18 29.87
81.84 31.60 62.47 62.11
70.99 42.86 1.99 30.86
34.15 16.78 49.58 38.39
37.87 97.43 5.27 33.48
37.52 69.53 15.22 32.77
20.76 62.98 7.51 22.58
77.82 52.56 58.86 63.29
84.52 5.99 48.87 50.99
32.57 78.98 12.46 31.80
46.89 92.05 65.30 65.13
24.60 91.55 11.68 31.53
86.54 90.00 83.76 85.84
32.26 32.48 91.18 61.76
20.59 4.02 30.85 22.41
68.39 14.43 46.85 46.83
11.38 18.31 24.30 19.23
23.75 73.79 59.79 51.78
63.61 34.32 21.32 36.61
67.68 17.83 26.86 37.30
67.62 71.46 64.68 66.92
91.55 19.50 52.24 57.48
71.62 80.31 10.63 42.86
57.18 50.82 39.56 47.10
28.86 1.11 18.42 18.09
72.33 75.38 83.82 78.69
84.42 11.93 85.58 70.50
7.81 74.83 58.02 46.32
68.90 92.55 27.67 53.02
41.79 93.09 20.19 41.25
21.70 31.74 18.68 22.20
93.70 61.52 77.27 79.05
83.99 87.92 83.33 84.45
57.96 92.93 7.40 39.67
85.26 53.00 69.09 70.72
24.20 28.26 47.42 36.62
34.02 40.99 50.46 43.63
80.05 26.17 56.76 57.63
60.19 57.99 61.73 60.52
26.22 62.41 1.84 21.27
68.30 90.48 60.66 68.92
63.11 60.41 93.12 77.58
42.22 43.73 17.38 30.10
80.06 44.10 12.89 39.28
87.20 96.88 14.97 53.02
43.39 91.93 21.96 42.38
72.74 27.64 83.43 69.06
58.29 52.89 12.83 34.48
70.48 87.96 3.53 40.50
37.54 89.14 42.49 50.33
78.12 39.19 80.82 71.68
15.74 17.49 60.98 38.71
56.88 53.90 7.88 31.78
67.75 63.55 71.25 68.66
51.17 26.19 4.61 22.89
43.93 71.76 66.60 60.83
13.01 87.65 58.68 50.77
48.61 33.30 55.79 49.14
5.35 14.84 64.50 36.82
92.42 40.89 4.29 38.05
15.22 2.51 69.72 39.93
