temprature,rainfall,humidity
71.84,71.34,61.80
30.71,98.44,30.60
13.99,1.95,68.35
45.92,85.34,24.56
53.03,84.43,1.49
13.69,92.42,43.39
88.91,38.43,53.09
75.40,50.60,89.00
74.73,60.54,32.54
10.54,28.54,45.38
64.12,85.31,94.18
27.60,3.88,34.00
56.82,16.34,60.41
0.42,3.25,15.96
94.78,47.07,35.84
45.17,63.60,83.46
65.83,75.07,45.77
21.52,18.85,38.64
76.99,33.81,64.55
16.93,41.91,54.12
59.24,86.80,54.62
60.49,16.36,66.93
76.08,45.92,72.69
44.42,81.29,29.99
45.94,59.66,20.00
64.59,18.63,11.55
84.07,55.00,35.87
13.24,8.72,89.45
27.21,70.79,10.25
85.83,69.59,52.20
64.49,49.92,71.26
88.41,74.81,33.49
51.99,42.60,7.87
49.49,77.41,67.25
14.87,47.78,22.09
48.55,71.22,72.65
49.65,3.10,36.37
24.99,69.70,38.82
51.68,0.82,67.44
73.41,78.36,95.58
81.37,59.44,27.70
8.50,67.33,48.49
22.80,60.23,72.49
48.75,89.21,97.77
76.67,2.82,42.17
94.22,96.58,43.15
22.08,68.98,60.85
35.30,70.63,58.72
66.65,80.56,51.48
2.30,22.13,50.43
10.48,77.69,70.74
5.25,90.97,63.14
90.95,60.68,85.96
6.94,25.43,13.27
50.18,87.63,93.85
13.25,79.25,23.99
69.34,49.39,25.89
98.30,68.75,39.68
28.21,71.13,76.35
50.07,92.77,16.44
96.74,81.72,6.23
62.73,48.48,69.76
87.34,41.58,14.31
93.30,23.32,52.84
30.36,61.86,62.30
30.81,76.31,41.74
65.24,8.02,34.03
88.34,78.32,72.82
43.07,36.71,25.75
13.05,10.55,5.56
60.12,75.47,56.48
77.57,89.74,91.36
59.22,29.54,71.91
91.08,13.01,41.63
14.45,30.25,98.35
98.43,72.75,68.97
97.58,84.10,14.83
40.98,33.21,69.68
98.99,85.13,40.74
31.01,35.13,82.83
25.43,90.67,37.17
40.28,64.20,1.47
21.59,66.28,13.41
43.89,70.66,50.78
89.09,89.60,75.68
9.60,61.53,21.53
60.47,78.65,40.69
53.26,12.77,70.29
17.89,14.77,49.69
24.59,81.39,17.92
5.89,61.24,61.65
33.71,9.85,49.12
87.74,19.25,69.20
12.51,79.04,36.21
85.95,67.53,75.80
52.29,83.99,63.47
13.94,6.63,67.61
14.17,69.53,73.18
29.33,7.33,25.22
60.45,10.59,62.98
90.60,9.39,26.42
39.52,39.89,75.30
32.45,3.75,41.83
81.44,42.39,52.73
85.66,77.42,26.18
83.28,76.31,7.44
93.02,45.48,65.00
18.75,36.70,43.85
43.27,25.14,64.29
61.22,56.79,42.16
66.85,35.59,5.10
13.81,72.39,4.17
87.59,69.64,20.40
46.26,46.51,63.83
57.06,86.02,38.16
73.97,86.56,7.07
4.12,89.60,73.37
49.66,29.03,75.75
36.02,0.76,17.24
39.91,73.25,27.99
30.30,39.61,93.91
82.47,97.00,46.04
74.46,85.66,0.14
79.99,89.99,39.57
74.75,76.78,26.64
62.24,43.01,41.66
85.68,53.78,95.90
81.36,93.14,21.74
98.43,92.97,72.37
75.13,34.61,69.31
1.46,98.17,24.73
39.16,28.42,93.65
91.85,21.87,72.25
38.55,4.45,59.10
76.38,10.27,66.29
55.72,70.54,92.72
43.44,89.74,75.64
63.20,80.39,61.41
95.11,12.39,60.35
10.55,91.80,32.03
58.81,2.66,64.72
32.11,50.25,53.77
59.68,41.96,44.56
5.76,9.11,53.44
66.75,17.76,7.96
62.93,25.82,56.03
9.28,69.13,41.38
36.69,7.94,73.46
33.78,0.36,84.53
95.87,58.20,61.41
58.10,97.50,59.60
3.43,2.64,71.65
58.34,74.54,65.18
10.93,25.55,22.74
24.78,87.49,11.71
58.97,68.11,81.54
59.75,57.79,3.70
83.74,88.36,96.76
3.05,42.50,64.79
74.17,47.05,85.07
95.48,51.26,32.47
34.52,52.63,5.88
69.31,47.33,80.72
25.24,71.69,94.45
26.73,67.62,23.73
24.35,40.62,20.60
24.57,22.09,46.64
81.74,97.68,18.50
72.78,20.63,54.51
50.81,31.71,31.12
40.34,19.04,87.18
34.05,16.78,61.75
13.16,50.45,73.53
30.19,23.69,58.32
32.45,18.02,97.56
47.57,94.29,67.73
96.47,98.54,8.37
57.45,62.44,34.65
75.23,41.15,20.65
46.97,77.29,56.68
11.04,98.81,9.60
95.38,96.13,3.57
65.20,64.82,65.13
26.31,96.48,22.01
86.76,65.71,83.41
91.09,56.42,4.75
53.59,48.28,22.94
33.73,14.10,18.98
11.04,54.12,37.53
64.30,81.33,19.90
66.40,32.87,68.72
56.79,69.11,20.08
53.45,98.94,63.86
42.82,54.84,31.96
6.36,53.94,23.58
88.22,32.50,50.31
71.25,87.24,60.23
8.81,96.03,53.41
26.18,67.45,91.35
34.01,47.09,66.28
52.64,75.79,64.32
46.43,81.43,36.64
28.26,13.58,90.96
11.13,70.53,59.80
86.07,43.96,57.60
69.74,31.56,49.90
34.90,62.38,43.12
44.50,35.30,37.57
14.28,3.80,49.00
10.15,7.07,76.65
92.66,62.03,21.85
89.53,65.92,39.28
12.46,83.84,40.42
27.02,85.35,14.76
67.11,44.94,16.80
52.61,49.45,7.71
1.73,50.60,0.93
35.01,15.89,23.65
8.89,85.45,2.65
27.04,59.77,90.24
62.33,27.55,86.48
35.61,42.80,83.11
59.03,34.94,29.97
84.37,27.87,53.45
64.32,27.69,55.77
4.26,57.88,67.28
93.26,88.59,55.01
60.18,50.07,20.19
86.49,47.47,26.38
32.36,19.23,68.15
65.20,0.30,18.34
74.26,55.41,83.91
88.91,20.06,70.26
36.44,47.07,52.26
93.47,97.24,39.31
54.01,31.65,88.71
9.63,11.46,11.95
48.29,33.90,37.02
82.59,17.69,0.48
74.88,41.01,21.76
48.82,92.80,29.44
42.93,91.86,85.16
44.31,4.31,45.80
33.62,72.13,78.15
72.04,25.01,11.39
30.53,33.80,79.39
9.07,77.35,41.37
24.46,68.42,83.15
21.63,87.88,27.93
15.56,77.45,22.20
10.15,36.53,22.71
92.79,54.91,87.16
29.14,76.84,13.76
81.56,86.50,60.68
11.44,12.77,76.04
64.20,23.10,38.58
41.25,8.22,35.23
59.91,98.21,91.77
21.77,33.47,3.71
49.03,88.96,5.55
24.27,35.49,33.83
51.16,0.75,28.55
1.97,6.05,42.25
73.16,69.68,94.22
25.91,40.59,61.74
90.22,17.63,84.24
37.48,84.61,77.44
4.79,38.96,0.04
53.31,50.10,50.02
24.20,49.92,42.15
88.10,25.95,50.45
61.12,8.74,76.06
13.33,31.04,10.27
45.84,15.77,3.19
1.54,84.82,35.86
75.87,46.28,74.16
96.84,5.24,2.64
90.93,95.69,9.20
47.92,7.93,98.71
66.68,39.41,49.08
56.56,43.55,87.55
98.01,44.95,45.90
32.92,25.57,25.75
63.96,33.11,72.27
51.39,39.09,66.83
71.38,41.12,20.34
95.63,40.72,75.76
32.11,93.53,82.81
76.28,8.47,81.24
19.99,93.17,52.78
79.17,55.62,79.59
2.75,58.74,26.99
81.51,14.17,32.42
91.29,63.67,34.96
81.85,43.80,4.25
63.45,70.60,17.56
30.40,77.69,63.21
61.80,71.17,90.45
47.95,37.90,63.17
58.82,25.52,72.54
4.67,24.80,16.08
23.96,53.07,85.78
29.33,25.60,6.03
15.03,9.71,51.10
28.20,25.06,65.56
38.93,5.79,90.96
37.06,65.28,72.11
32.39,50.98,79.43
89.14,7.42,65.81
11.99,10.78,67.54
50.18,38.95,39.20
13.60,52.86,0.41
92.69,75.87,37.63
52.69,42.14,94.56
35.69,96.52,93.38
75.06,51.19,78.58
86.04,44.58,81.39
61.10,3.44,93.30
55.06,11.26,89.34
43.81,40.34,31.25
31.65,20.59,31.84
51.08,81.99,37.31
38.90,96.25,0.25
0.60,42.04,80.67
91.39,65.37,69.80
65.79,19.08,96.33
98.16,92.48,63.16
91.52,45.79,62.99
42.38,41.85,9.31
50.82,69.04,90.15
80.50,9.80,26.41
0.36,5.03,60.52
88.61,90.03,69.67
98.93,17.94,64.85
89.85,91.72,18.83
45.33,2.26,40.98
22.12,32.88,52.12
59.68,3.35,90.17
47.95,29.41,51.44
24.44,29.26,91.94
85.96,27.62,88.29
31.58,52.50,15.66
6.14,71.28,63.83
1.41,39.60,40.33
1.69,62.73,78.04
82.83,8.48,81.52
55.76,10.74,35.30
70.29,59.75,37.60
3.01,1.30,68.09
26.15,42.23,16.15
26.97,18.47,47.10
24.15,57.71,6.82
92.12,44.18,77.47
0.37,22.56,82.71
7.20,14.28,14.58
37.23,97.40,19.07
24.24,27.23,59.71
62.40,55.53,40.59
96.05,13.43,52.52
30.46,57.10,10.67
5.72,75.67,67.94
62.71,72.41,36.25
86.22,61.92,20.95
72.49,73.82,66.84
39.01,58.73,47.30
50.21,43.17,63.81
32.04,75.26,18.50
33.82,26.25,16.54
61.33,91.00,81.90
89.19,33.26,54.69
75.24,96.09,39.00
89.89,89.07,40.83
32.83,70.15,37.12
76.78,50.83,92.99
58.47,6.67,15.05
89.86,31.65,74.06
9.12,25.34,55.11
61.38,85.51,11.37
13.02,67.54,57.26
68.83,51.02,54.84
90.49,98.16,2.18
18.74,74.40,89.05
68.57,90.17,14.65
28.84,13.89,85.44
80.81,81.15,9.74
50.02,34.62,13.78
80.74,19.25,47.30
91.75,73.54,93.92
61.57,75.05,12.40
59.34,75.75,47.46
12.04,15.51,11.31
86.95,27.91,74.86
45.48,60.88,2.43
93.23,11.35,89.22
57.66,9.35,30.69
56.26,18.29,13.38
66.53,7.41,34.36
1.81,20.95,97.67
23.94,82.76,3.62
87.54,90.87,64.58
94.33,51.32,74.10
17.67,6.20,57.06
45.57,0.64,32.41
98.36,74.99,18.59
3.21,6.89,60.61
39.53,22.03,64.75
82.30,92.85,77.34
10.10,69.47,93.17
44.54,44.46,33.89
23.02,38.85,66.02
46.72,60.86,64.81
41.89,62.41,97.24
14.29,76.54,39.77
1.98,89.37,59.58
48.23,70.26,82.66
65.57,48.06,74.90
58.51,73.20,65.84
54.66,38.45,69.58
63.76,4.02,45.77
22.24,73.62,15.43
26.77,34.27,3.08
63.15,43.19,32.22
35.66,55.79,90.87
31.94,64.28,29.42
64.87,77.82,31.37
64.03,94.77,29.36
45.67,19.76,82.09
86.11,22.74,40.44
95.71,52.37,86.65
10.12,60.63,53.39
78.10,35.35,58.50
55.80,59.93,20.03
60.45,32.91,10.84
36.58,75.64,57.23
81.27,76.24,65.28
81.67,91.29,65.52
21.21,78.00,73.08
93.63,16.21,89.91
11.24,29.69,89.64
66.03,12.38,61.21
84.62,68.57,90.74
57.11,41.33,35.13
49.05,32.12,62.40
85.22,71.57,22.12
56.54,71.59,33.45
4.03,22.10,69.59
72.13,14.93,94.96
69.85,49.31,67.73
32.19,77.52,87.96
12.74,73.98,73.60
55.53,39.04,59.35
2.71,11.61,33.61
61.53,27.98,82.23
66.84,18.70,44.83
78.29,16.32,38.78
79.15,10.81,98.05
52.48,25.67,10.68
81.70,32.81,59.70
39.88,82.02,93.14
38.99,73.82,41.67
13.24,22.62,38.94
19.99,19.06,73.23
14.19,28.63,33.24
60.60,69.82,29.44
17.47,24.97,27.65
21.67,76.71,86.08
20.80,70.38,36.77
91.36,8.17,4.73
16.84,92.26,41.96
3.14,73.68,97.95
73.06,64.08,90.82
6.43,20.99,44.13
97.76,30.06,49.78
89.04,67.46,24.69
25.50,35.86,66.91
57.02,12.92,56.57
86.20,22.26,1.56
23.97,49.59,61.34
15.83,18.07,77.25
28.13,40.61,19.44
12.27,51.82,11.15
17.55,98.61,13.97
63.98,21.91,75.18
6.11,73.11,26.49
8.26,9.65,48.38
98.55,11.99,35.10
4.24,56.85,27.79
47.96,10.85,64.47
13.09,41.02,24.59
14.46,27.40,83.60
17.27,19.37,52.45
4.21,32.32,37.33
45.16,56.16,8.56
85.29,0.38,71.68
35.14,53.90,55.73
76.74,87.74,81.48
21.54,88.64,83.60
69.29,83.42,30.10
34.36,60.02,24.47
14.20,46.08,73.74
49.21,58.10,71.77
24.52,60.44,93.71
53.22,50.18,77.44
1.03,8.00,16.26
46.68,50.05,40.16
68.05,92.92,0.82
55.34,43.99,41.02
55.74,7.88,63.24
45.14,23.29,50.08
52.39,70.08,80.42
93.15,75.45,77.94
13.18,5.53,91.91
8.38,0.38,66.90
51.85,22.17,43.02
54.17,44.56,11.90
28.65,52.29,35.34
3.18,93.26,20.51
9.95,45.49,95.04
75.18,96.33,73.83
27.53,11.05,13.80
86.87,7.93,68.47
15.32,93.59,48.64
30.11,1.91,24.93
46.30,83.89,97.53
37.26,75.20,40.70
35.30,85.09,34.35
27.74,65.56,92.94
62.81,60.07,9.20
13.32,48.65,47.35
9.53,64.75,42.91
19.48,3.53,26.23
83.12,74.02,60.70
37.09,93.77,86.82
62.94,82.74,49.50
25.11,75.02,88.06
88.92,66.89,7.51
51.32,40.20,76.85
14.88,39.48,18.99
4.36,8.74,14.85
75.43,62.01,12.02
20.52,23.44,92.98
97.15,21.40,47.63
67.95,42.98,36.22
70.36,61.01,50.87
51.53,48.51,79.41
20.78,32.93,22.43
44.57,72.60,72.61
71.28,50.82,34.76
39.61,25.25,39.81
8.22,19.28,44.17
48.69,68.12,61.51
51.85,42.50,42.41
24.84,32.88,78.06
37.00,85.64,51.84
87.85,62.09,25.28
81.87,71.50,64.39
90.81,92.45,17.69
96.20,87.50,29.36
12.59,69.20,82.14
49.36,84.70,85.80
13.72,73.79,92.98
63.31,14.62,3.14
45.18,92.46,37.06
64.65,12.22,46.89
65.01,87.21,30.08
15.03,36.60,97.98
70.02,65.58,67.54
63.80,80.74,92.21
32.23,41.18,72.07
89.58,24.86,71.52
18.91,98.64,54.62
21.76,24.26,20.05
33.35,86.03,37.77
34.61,3.19,85.27
84.57,7.12,20.76
46.50,73.41,14.35
96.81,60.16,70.64
6.28,47.49,1.50
42.17,48.12,33.44
42.84,39.74,96.91
29.60,88.45,60.16
59.94,81.46,67.14
48.26,77.13,60.58
97.03,80.51,86.90
96.76,67.19,49.96
26.43,64.26,22.35
69.76,35.97,37.07
39.57,97.85,43.19
69.68,69.33,82.43
34.40,95.81,33.25
25.44,93.31,74.36
83.10,22.64,14.76
48.66,51.19,22.02
5.48,35.98,6.04
67.24,87.08,74.67
71.01,38.07,23.96
15.05,55.00,34.20
85.40,86.74,79.07
27.33,64.04,13.93
60.93,68.39,92.08
26.92,21.11,55.58
4.27,25.26,33.25
39.38,33.44,7.22
14.74,71.93,47.50
49.70,67.95,64.66
28.56,94.50,28.46
85.88,59.28,41.56
42.62,63.02,75.05
54.10,91.58,21.54
25.42,17.39,7.15
34.00,37.98,74.72
37.57,69.64,86.39
49.69,90.55,85.65
81.76,39.02,25.28
59.07,4.29,98.65
61.99,32.13,66.18
66.86,40.05,12.05
2.08,61.39,41.29
96.41,67.43,84.81
90.33,39.23,95.08
0.13,39.52,62.30
17.52,56.19,33.80
92.73,83.43,51.53
93.77,45.77,50.78
19.18,65.98,43.20
39.81,19.72,76.97
29.29,25.34,6.87
48.43,71.77,41.81
41.90,58.40,22.31
68.87,93.70,78.40
30.29,66.90,29.50
88.00,57.33,84.47
22.82,58.24,53.55
6.01,60.14,58.00
78.34,72.68,74.12
5.51,1.74,15.15
83.15,42.26,74.11
67.89,2.78,32.43
79.26,67.17,22.61
80.68,22.25,32.20
93.56,26.58,92.06
60.33,86.04,22.22
40.08,70.92,31.11
85.38,25.99,29.87
4.86,37.97,77.14
55.17,43.40,66.66
40.25,28.92,14.04
25.98,33.83,31.88
98.23,70.33,57.72
28.91,31.97,45.14
33.12,34.88,15.66
16.58,96.52,16.73
80.53,93.84,40.96
42.83,54.21,91.53
39.89,33.89,73.91
3.64,58.73,87.04
63.93,2.83,21.76
47.00,98.57,80.22
27.28,60.01,59.80
41.87,27.54,53.84
13.75,40.81,30.04
5.72,37.47,26.65
47.46,16.02,75.12
33.14,71.02,62.99
50.97,93.41,18.58
66.57,43.07,11.89
92.50,54.68,90.79
9.11,2.07,40.95
23.75,29.26,20.75
33.90,87.91,54.19
22.89,40.56,8.44
71.25,50.14,18.95
3.56,77.81,70.52
6.39,1.46,88.40
54.14,73.89,54.52
85.33,60.71,5.97
37.42,41.54,23.40
49.90,76.83,83.06
76.62,43.88,85.03
8.22,67.35,37.40
58.76,69.61,14.59
62.31,70.36,17.86
93.53,80.67,21.89
79.85,32.60,25.86
89.42,85.13,63.59
57.45,95.83,24.67
93.65,36.99,90.87
57.74,88.72,86.44
16.02,40.05,86.53
80.21,65.30,75.44
94.02,81.60,6.39
37.42,58.47,94.58
62.32,36.86,75.01
24.12,3.64,0.08
84.77,9.96,45.23
19.08,77.49,39.36
98.16,77.48,85.99
95.62,62.95,53.79
13.63,80.66,46.70
57.80,79.69,56.58
11.53,82.62,36.00
69.77,90.65,94.48
34.16,82.33,25.05
40.15,64.13,75.78
18.52,98.07,92.71
81.74,20.80,36.11
48.95,43.66,72.09
76.62,28.27,55.38
61.01,5.57,82.78
64.98,98.70,61.52
91.01,77.51,74.24
38.75,45.81,58.77
44.61,69.53,26.95
50.90,98.33,69.47
87.71,10.32,96.09
13.47,62.89,65.62
95.24,81.68,71.15
93.00,30.88,55.61
40.50,53.18,93.73
42.40,30.62,76.05
94.54,45.16,98.90
16.03,10.78,33.18
61.13,92.40,75.49
56.05,4.84,24.18
81.84,31.60,62.47
70.99,42.86,1.99
34.15,16.78,49.58
37.87,97.43,5.27
37.52,69.53,15.22
20.76,62.98,7.51
77.82,52.56,58.86
84.52,5.99,48.87
32.57,78.98,12.46
46.89,92.05,65.30
24.60,91.55,11.68
86.54,90.00,83.76
32.26,32.48,91.18
20.59,4.02,30.85
68.39,14.43,46.85
11.38,18.31,24.30
23.75,73.79,59.79
63.61,34.32,21.32
67.68,17.83,26.86
67.62,71.46,64.68
91.55,19.50,52.24
71.62,80.31,10.63
57.18,50.82,39.56
28.86,1.11,18.42
72.33,75.38,83.82
84.42,11.93,85.58
7.81,74.83,58.02
68.90,92.55,27.67
41.79,93.09,20.19
21.70,31.74,18.68
93.70,61.52,77.27
83.99,87.92,83.33
57.96,92.93,7.40
85.26,53.00,69.09
24.20,28.26,47.42
34.02,40.99,50.46
80.05,26.17,56.76
60.19,57.99,61.73
26.22,62.41,1.84
68.30,90.48,60.66
63.11,60.41,93.12
42.22,43.73,17.38
80.06,44.10,12.89
87.20,96.88,14.97
43.39,91.93,21.96
72.74,27.64,83.43
58.29,52.89,12.83
70.48,87.96,3.53
37.54,89.14,42.49
78.12,39.19,80.82
15.74,17.49,60.98
56.88,53.90,7.88
67.75,63.55,71.25
51.17,26.19,4.61
43.93,71.76,66.60
13.01,87.65,58.68
48.61,33.30,55.79
5.35,14.84,64.50
92.42,40.89,4.29
15.22,2.51,69.72
3.29,20.58,96.64
25.46,43.10,67.45
60.28,66.60,3.28
49.20,85.94,55.16
38.14,84.98,97.22
77.36,71.27,90.03
84.65,64.29,58.81
28.29,87.37,17.14
80.39,42.54,17.90
64.96,92.08,88.16
56.82,70.15,64.26
3.80,97.03,96.17
67.29,57.56,97.89
1.32,47.90,49.44
58.33,73.01,37.69
27.61,12.77,18.18
46.06,55.07,94.63
81.28,53.94,87.84
22.42,37.44,63.65
45.21,66.59,80.31
55.99,25.38,88.52
49.56,90.34,90.43
66.83,15.59,81.09
87.48,41.38,57.31
62.49,5.82,49.09
4.36,16.71,75.98
83.46,23.10,84.64
2.89,21.16,85.32
35.70,76.74,21.36
30.05,13.43,57.33
7.43,85.61,9.25
96.10,72.11,23.98
76.43,61.74,21.65
39.24,95.00,2.84
72.19,95.56,37.08
31.73,7.82,76.34
50.79,5.81,17.59
8.96,15.20,28.15
55.52,8.41,61.10
1.67,48.13,94.52
38.70,14.83,57.46
4.15,66.02,28.46
64.39,75.53,31.84
26.39,23.41,6.38
62.81,65.30,84.08
45.87,24.48,23.51
74.32,3.03,63.06
87.46,26.19,44.44
68.92,16.75,37.64
54.07,43.37,76.83
78.05,22.13,47.60
70.70,96.43,63.87
2.47,61.74,27.58
31.05,88.79,11.24
43.17,70.31,93.16
69.56,83.57,28.74
30.06,25.64,93.43
64.72,12.73,76.84
9.63,60.31,11.75
53.71,81.74,44.85
58.24,92.04,63.61
65.71,5.62,12.19
84.73,2.99,81.23
22.81,57.61,31.48
26.98,3.53,23.87
82.76,18.37,89.33
22.21,86.69,93.14
0.92,5.26,28.97
94.67,26.10,29.40
46.64,45.78,41.12
23.72,18.08,47.66
51.60,29.60,44.80
58.70,44.88,76.09
63.72,65.26,9.94
34.69,21.81,31.33
55.80,26.08,92.85
57.26,48.57,37.57
74.64,81.41,20.58
51.78,70.61,6.03
10.13,60.28,18.45
48.67,67.80,93.83
2.66,79.71,75.19
85.84,63.25,5.20
53.98,32.29,66.68
67.80,24.52,60.24
96.16,14.87,13.16
21.21,71.98,98.25
67.23,0.33,88.27
43.80,51.86,24.73
34.96,68.52,98.45
11.55,49.10,69.92
54.72,38.02,94.51
96.11,84.40,35.28
62.30,37.66,34.86
21.33,59.32,2.06
43.14,22.66,6.83
88.49,15.91,4.52
4.73,88.60,57.84
72.46,30.48,54.64
6.24,49.31,37.77
39.55,12.44,72.77
56.38,74.49,18.06
64.47,55.98,79.23
3.02,28.05,18.26
17.32,42.33,42.21
5.35,31.15,4.14
66.84,56.05,89.55
14.27,10.46,69.50
74.91,97.50,44.85
11.84,74.19,81.23
32.24,54.08,36.20
62.76,65.11,80.24
4.87,80.89,39.74
90.56,8.39,44.65
38.32,42.81,43.37
74.88,51.47,77.81
88.35,11.71,16.54
63.87,95.63,75.94
34.32,74.88,16.61
46.76,66.86,40.22
72.84,7.04,22.99
55.71,45.86,87.44
16.41,26.83,84.45
88.46,40.64,19.08
29.07,87.49,20.86
88.64,22.82,45.80
53.78,3.96,26.64
65.57,53.03,80.78
91.99,18.70,92.41
83.86,55.95,89.77
55.97,69.16,72.75
72.94,75.99,21.93
44.58,36.47,89.06
92.67,77.51,75.33
77.90,50.00,41.77
93.76,91.47,8.77
35.84,85.14,3.26
94.22,92.66,74.08
58.18,40.37,11.38
83.58,48.25,37.55
98.75,17.84,34.36
58.30,26.10,29.24
27.93,50.48,71.68
97.29,8.73,10.41
78.02,9.71,50.40
92.22,59.00,81.23
92.21,87.36,25.15
49.22,32.49,23.15
85.55,33.82,83.46
53.07,97.33,4.05
6.88,15.60,29.31
76.09,7.83,2.50
92.86,90.79,43.02
71.51,13.57,98.11
51.67,40.13,26.98
42.18,81.69,4.09
53.97,47.62,16.93
23.08,58.32,48.73
66.43,58.74,57.35
32.36,60.77,4.39
8.10,40.93,69.90
90.88,73.46,23.73
47.82,55.31,4.78
7.80,21.34,50.49
86.98,55.23,45.93
59.06,2.13,14.86
19.75,23.83,68.53
72.91,63.66,29.33
85.34,5.64,90.61
14.70,31.90,21.18
25.32,97.68,77.69
72.11,89.78,69.52
50.13,32.06,87.99
2.26,84.62,24.12
78.41,92.94,35.90
13.40,26.54,93.58
69.11,98.27,7.24
52.01,39.53,78.82
24.02,6.90,90.34
62.04,98.27,2.17
82.36,34.96,61.05
85.79,47.09,61.51
80.76,52.16,31.14
38.74,9.59,16.41
67.38,38.57,41.58
17.23,15.93,29.55
1.20,83.00,41.05
35.50,52.74,35.29
57.58,17.99,84.45
93.30,69.52,21.67
5.08,80.31,17.89
50.04,77.85,7.03
96.77,22.71,0.23
66.61,17.17,18.96
90.04,23.94,81.43
73.57,28.23,54.64
29.10,49.79,91.85
16.57,62.55,27.43
89.54,83.12,12.90
64.94,72.43,55.24
69.44,55.54,2.37
45.10,45.73,7.62
75.26,35.93,24.91
21.25,72.86,36.61
50.46,34.85,51.05
24.51,91.36,96.76
18.03,24.48,9.44
85.89,74.57,78.82
75.37,22.34,32.23
94.26,26.67,77.22
28.92,41.31,88.97
35.44,3.42,29.77
40.21,19.93,14.19
39.48,66.42,14.87
83.00,54.93,37.76
95.44,63.91,54.62
68.99,60.73,40.91
34.88,37.41,14.03
0.62,63.51,84.34
55.00,39.56,35.94
24.64,10.72,61.93
16.20,32.12,63.19
81.49,87.48,32.38
57.42,41.01,72.32
24.83,25.68,31.90
16.92,37.37,87.87
52.33,81.67,2.78
73.51,20.58,72.28
62.11,88.77,76.80
77.90,3.07,13.55
2.60,77.62,38.41
6.07,27.33,64.77
43.60,93.16,52.44
71.65,25.75,68.53
19.57,29.52,96.33
77.32,86.42,94.21
81.70,45.14,77.09
88.84,49.05,17.70
76.12,76.93,84.07
55.97,90.43,83.66
19.62,49.23,43.07
58.50,3.07,44.30
7.68,60.29,33.06
59.61,32.78,42.22
9.37,18.34,72.20
89.10,31.92,88.85
87.51,47.83,85.94
69.97,76.13,49.50
31.16,28.85,30.57
29.91,78.05,66.16
15.68,35.56,93.79
44.75,82.32,74.89
90.55,36.95,61.27
52.27,90.93,80.38
35.78,35.10,76.61
45.64,61.28,70.69
55.53,2.75,29.10
96.85,72.68,22.93
36.71,71.79,32.62
87.54,37.24,69.20
39.38,39.58,5.70
0.77,57.16,67.70
9.69,65.59,24.35
26.64,1.20,51.39
85.58,57.70,67.58
54.24,13.33,78.91
82.99,23.51,69.33
33.44,1.15,14.95
28.54,3.41,73.58
4.22,50.19,45.97
16.93,42.58,75.19
48.00,1.01,83.51
72.95,28.58,41.41
77.96,2.41,41.49
48.11,91.88,80.19
20.25,81.22,73.89
18.31,22.11,65.62
1.14,18.40,46.50
50.68,74.91,33.11
75.02,74.95,71.55
66.81,51.44,95.44
68.28,67.46,43.85
67.02,65.76,98.60
22.15,73.68,87.80
94.57,27.62,95.64
96.55,43.43,35.77
88.17,49.66,35.40
2.57,61.85,48.09
65.95,73.40,18.88
40.92,73.97,54.67
74.69,47.42,64.25
30.63,73.97,18.60
